Listing ID,Bedrooms,Bathrooms,Lot Size,House Size,Property Type,Price,Country
l_155410488,2 Beds,2 Baths,,"('786 Sqft', ' sqft')",Condominium,"750,000 ",Mexico
l_129093140,2 Beds,1 Bath,,"('902 Sqft', ' sqft')",Condominium,"309,000  34",Mexico
l_157074640,2 Beds,2 Baths,0.033 ac Lot Size,"('1,253.54 Sqft', ' sqft')",Residential,"475,000 ",Mexico
l_160149914,,,,,Residential,"200,000 ",Mexico
l_118197530,2 Beds,2 Baths,,"('1,862 Sqft', ' sqft')",Condominium,"1,141,752 ",Mexico
l_160172933,3 Beds,2 Baths,,"('2,033 Sqft', ' sqft')",Condominium,"750,000 ",Mexico
l_158296138,6 Beds,5 Baths,0.164 ac Lot Size,"('6,792.03 Sqft', ' sqft')",Residential,"2,849,000 ",Mexico
l_134608955,1 Bed,1 Bath,,"('775 Sqft', ' sqft')",Condominium,"144,000 ",Mexico
l_154405185,1 Bed,1 Bath,,"('731.95 Sqft', ' sqft')",Residential,"189,546.523883 ",Mexico
l_140220065,1 Bed,1 Bath,,"('581.9 Sqft', ' sqft')",Residential,"289,000 ",Mexico
l_152839586,6 Beds,6 Baths,0.085 ac Lot Size,"('6,000 Sqft', ' sqft')",Residential,"749,000 ",Mexico
l_153851541,2 Beds,2 Baths,,"('818.06 Sqft', ' sqft')",Residential,"139,000 ",Mexico
l_142118769,,,,,Condominium,"345,000 ",Mexico
l_160741802,1 Bed,1 Bath,,"('611 Sqft', ' sqft')",Residential,"169,000 ",Mexico
l_142120027,1 Bed,1 Bath,,"('431 Sqft', ' sqft')",Condominium,"132,000 ",Mexico
l_153443415,2 Beds,2 Baths,,"('731.84 Sqft', ' sqft')",Condominium,"214,683.14 ",Mexico
l_155305950,4 Beds,3 Baths,0.029 ac Lot Size,"('2,559 Sqft', ' sqft')",Residential,"985,000  16.3",Mexico
l_159851137,1 Bed,1 Bath,,"('538.2 Sqft', ' sqft')",Residential,"135,294  2.1",Mexico
