Listing ID,Bedrooms,Bathrooms,Lot Size,House Size,Property Type,Price,Country
l_145413169,,,,,Residential,"150,000 ",Honduras
l_113720735,,,,,Residential,"45,000 ",Honduras
l_157290510,,,,,Residential,"45,000 ",Honduras
l_160507224,,,5.872 ac Lot Size,,Lots And Land,"1,020,000 ",Honduras
l_158476794,,,,,Residential,"2,290,000 ",Honduras
l_158966070,3 Beds,3 Baths,0.3 ac Lot Size,"('4,185 Sqft', ' sqft')",Residential,"649,000 ",Honduras
l_160507233,,,307.414 ac Lot Size,,Lots And Land,"6,130,000 ",Honduras
l_140533173,,,0.55 ac Lot Size,,Lots And Land,"215,000 ",Honduras
l_150177488,6 Beds,6 Baths,0.72 ac Lot Size,,Residential,"1,350,000 ",Honduras
l_158963380,4 Beds,4 Baths,,"('1,250 Sqft', ' sqft')",Residential,"489,000 ",Honduras
l_144478786,4 Beds,4 Baths,,"('2,400 Sqft', ' sqft')",Residential,"449,000 ",Honduras
l_158963383,,,1.89 ac Lot Size,,Residential,"380,000 ",Honduras
l_157899783,3 Beds,2 Baths,,"('3,200 Sqft', ' sqft')",Residential,"565,000 ",Honduras
l_150757765,4 Beds,4 Baths,0.604 ac Lot Size,,Residential,"549,000 ",Honduras
l_150577579,,,0.55 ac Lot Size,,Lots And Land,"58,900 ",Honduras
l_158297736,3 Beds,3 Baths,,"('1,564 Sqft', ' sqft')",Residential,"499,000 ",Honduras
l_157296121,2 Beds,2 Baths,1 ac Lot Size,"('2,400 Sqft', ' sqft')",Residential,"329,000 ",Honduras
l_158689569,4 Beds,3 Baths,0.21 ac Lot Size,"('32,291.73 Sqft', ' sqft')",Residential,"1,350,000 ",Honduras
l_158856647,3 Beds,3 Baths,0.127 ac Lot Size,,Residential,"176,000 ",Honduras
l_159377868,,,,,Residential,"489,000 ",Honduras
l_157289699,3 Beds,2 Baths,,,Residential,"270,000 ",Honduras
l_150412042,,,0.215 ac Lot Size,,Lots And Land,"28,000 ",Honduras
l_158033405,,,0.064 ac Lot Size,,Lots And Land,"22,000 ",Honduras
l_160507184,,,36.769 ac Lot Size,,Lots And Land,"2,850,182 ",Honduras
l_150294606,,,,,Lots And Land,"49,000 ",Honduras
l_158033378,3 Beds,2 Baths,0.38 ac Lot Size,,Residential,"479,999 ",Honduras
l_107573449,,,,,Residential,"900,000 ",Honduras
l_137981605,,,,,Residential,"299,000 ",Honduras
l_138039778,,,,,Residential,"127,000 ",Honduras
l_140158076,3 Beds,3 Baths,0.301 ac Lot Size,,Residential,"499,000 ",Honduras
l_144977242,5 Beds,7 Baths,,,Residential,"1,490,000 ",Honduras
l_157290505,2 Beds,2 Baths,,,Residential,"245,000 ",Honduras
l_113720724,,,,,Residential,"55,000 ",Honduras
l_157943023,,,350.535 ac Lot Size,,Lots And Land,"4,200,000 ",Honduras
l_160507186,8 Beds,8 Baths,0.13 ac Lot Size,,Other,"528,240 ",Honduras
l_160507222,3 Beds,1 Bath,0.045 ac Lot Size,,Residential,"51,000 ",Honduras
l_157718036,3 Beds,3 Baths,,,Residential,"620,000 ",Honduras
l_160507231,,,0.428 ac Lot Size,,Lots And Land,"823,218 ",Honduras
l_160507230,,,0.099 ac Lot Size,,Lots And Land,"315,000 ",Honduras
l_150412048,,,0.177 ac Lot Size,,Lots And Land,"49,000 ",Honduras
l_146001697,4 Beds,3 Baths,,"('4,300 Sqft', ' sqft')",Residential,"1,395,000 ",Honduras
