Listing ID,Bedrooms,Bathrooms,Lot Size,House Size,Property Type,Price,Country
l_159856110,3 Beds,2 Baths,0.058 ac Lot Size,"('3,627.44 Sqft', ' sqft')",Condominium,"355,000 ",Costa Rica
l_160453843,2 Beds,1 Bath,,"('1,743.75 Sqft', ' sqft')",Residential,"280,000 ",Costa Rica
l_161133334,6 Beds,4 Baths,0.124 ac Lot Size,"('1,442 Sqft', ' sqft')",Residential,"475,000 ",Costa Rica
l_155789962,4 Beds,4 Baths,0.74 ac Lot Size,"('6,458.35 Sqft', ' sqft')",Residential,"750,000 ",Costa Rica
l_154353267,2 Beds,2 Baths,,"('1,528.47 Sqft', ' sqft')",Condominium,"355,000 ",Costa Rica
l_156066774,4 Beds,4 Baths,0.261 ac Lot Size,"('3,198 Sqft', ' sqft')",Residential,"2,500,000 ",Costa Rica
l_154415924,4 Beds,4 Baths,0.074 ac Lot Size,"('3,229.17 Sqft', ' sqft')",Residential,"2,800,000 ",Costa Rica
l_156835570,4 Beds,2 Baths,0.156 ac Lot Size,"('2,701.74 Sqft', ' sqft')",Residential,"539,900 ",Costa Rica
l_158576023,3 Beds,4 Baths,,"('2,476 Sqft', ' sqft')",Residential,"495,000 ",Costa Rica
l_128333408,7 Beds,8 Baths,,"('7,000 Sqft', ' sqft')",Residential,"3,300,000  400",Costa Rica
l_157675812,2 Beds,2 Baths,,"('2,583.34 Sqft', ' sqft')",Residential,"355,000 ",Costa Rica
l_160434331,4 Beds,4 Baths,0.137 ac Lot Size,"('4,000 Sqft', ' sqft')",Residential,"799,000 ",Costa Rica
l_137200924,4 Beds,4 Baths,,"('5,597.23 Sqft', ' sqft')",Residential,"1,150,000 ",Costa Rica
l_153027211,,,,,Residential,"159,000 ",Costa Rica
l_157163779,3 Beds,3 Baths,,"('2,228.13 Sqft', ' sqft')",Residential,"1,050,000 ",Costa Rica
l_158719566,3 Beds,2 Baths,,,Residential,"829,000 ",Costa Rica
l_158576035,2 Beds,2 Baths,,"('710 Sqft', ' sqft')",Residential,"245,000 ",Costa Rica
l_157295911,3 Beds,2 Baths,0.057 ac Lot Size,"('2,206.6 Sqft', ' sqft')",Residential,"199,500 ",Costa Rica
l_136278789,4 Beds,4 Baths,0.422 ac Lot Size,"('4,004 Sqft', ' sqft')",Residential,"835,000 ",Costa Rica
l_158576122,2 Beds,3 Baths,,"('1,593.06 Sqft', ' sqft')",Condominium,"449,000 ",Costa Rica
l_146316539,3 Beds,3 Baths,1.3 ac Lot Size,"('2,368.06 Sqft', ' sqft')",Residential,"425,000 ",Costa Rica
