Listing ID,Bedrooms,Bathrooms,Lot Size,House Size,Property Type,Price,Country
l_156837122,4 Beds,5 Baths,,"('5,000 Sqft', ' sqft')",Residential,"799,000 ",Nicaragua
l_143389726,3 Beds,3 Baths,,,Residential,"399,000 ",Nicaragua
l_156214016,3 Beds,3 Baths,,"('2,486.46 Sqft', ' sqft')",Residential,"179,900 ",Nicaragua
l_158972765,,,86.352 ac Lot Size,,Lots And Land,"50,000 ",Nicaragua
l_159295697,4 Beds,4 Baths,0.72 ac Lot Size,,Residential,"495,000 ",Nicaragua
l_156267156,,,,"('15,392.39 Sqft', ' sqft')",Lots and Land,"178,750 ",Nicaragua
l_153738548,3 Beds,3 Baths,,"('6,212 Sqft', ' sqft')",Residential,"1,750,000 ",Nicaragua
l_145098231,2 Beds,2 Baths,,"('11,216.09 Sqft', ' sqft')",Residential,"279,000 ",Nicaragua
l_159295694,3 Beds,,0.069 ac Lot Size,,Residential,"190,000 ",Nicaragua
l_152911487,4 Beds,4 Baths,0.15 ac Lot Size,,Residential,"265,000 ",Nicaragua
l_159021238,4 Beds,4 Baths,0.104 ac Lot Size,,Residential,"140,000 ",Nicaragua
l_158287478,,,,"('15,618.43 Sqft', ' sqft')",Lots And Land,"95,000 ",Nicaragua
l_159295758,3 Beds,2 Baths,0.16 ac Lot Size,,Residential,"299,500 ",Nicaragua
l_159295713,,,0.555 ac Lot Size,,Lots And Land,"192,960 ",Nicaragua
l_157294312,4 Beds,4 Baths,,"('84,389.05 Sqft', ' sqft')",Residential,"499,000 ",Nicaragua
l_154655441,4 Beds,4 Baths,,"('3,853.48 Sqft', ' sqft')",Residential,"180,000 ",Nicaragua
l_157904163,4 Beds,3 Baths,0.288 ac Lot Size,,Residential,"350,000 ",Nicaragua
l_160507182,,,0.253 ac Lot Size,,Lots And Land,"98,000 ",Nicaragua
l_157290881,5 Beds,5 Baths,,,Residential,"869,000 ",Nicaragua
l_158300249,,,,,Residential,"495,000 ",Nicaragua
l_146534923,4 Beds,3 Baths,,"('87,102.29 Sqft', ' sqft')",Residential,"249,000 ",Nicaragua
l_150822875,,,0.871 ac Lot Size,,Lots And Land,"69,000 ",Nicaragua
l_146273273,,,0.428 ac Lot Size,,Lots And Land,"99,600  12",Nicaragua
l_115833269,2 Beds,2 Baths,,,Residential,"160,000 ",Nicaragua
l_137489912,2 Beds,2 Baths,,"('960 Sqft', ' sqft')",Residential,"149,000 ",Nicaragua
l_158293056,2 Beds,2 Baths,,"('1,700.7 Sqft', ' sqft')",Residential,"129,000 ",Nicaragua
l_158850513,2 Beds,2 Baths,,"('1,200 Sqft', ' sqft')",Residential,"131,500 ",Nicaragua
l_124474465,1 Bed,1 Bath,0.494 ac Lot Size,,Residential,"159,000 ",Nicaragua
